"Story","Title","Result","Date","Stability","Duration (s)"
"As user, I want to create, put, delete and get artikel and artikel by ID","As user I want to create new artikel","SUCCESS","2023-06-26T11:50:36.882456+07:00[Asia/Jakarta]","0.0","1.65"
"As user, I want to create, put, delete and get artikel and artikel by ID","As user I can get all artikel data","SUCCESS","2023-06-26T11:50:38.541141+07:00[Asia/Jakarta]","0.0","0.38"
"As user, I want to create, put, delete and get artikel and artikel by ID","As user I can edit artikel data by ID","SUCCESS","2023-06-26T11:50:38.935709+07:00[Asia/Jakarta]","0.0","0.37"
"As user, I want to create, put, delete and get artikel and artikel by ID","As user I can delete artikel data by ID","SUCCESS","2023-06-26T11:50:39.319288+07:00[Asia/Jakarta]","0.0","0.4"
"As user, I want to manage Shop features","As user, I want to create new cart","SUCCESS","2023-06-26T11:50:39.733688+07:00[Asia/Jakarta]","0.0","0.34"
"As user, I want to manage Shop features","As user, I can get all cart data","SUCCESS","2023-06-26T11:50:40.079602+07:00[Asia/Jakarta]","0.0","0.31"
"As user, I want to manage Shop features","As user, I can edit cart data by ID","SUCCESS","2023-06-26T11:50:40.398245+07:00[Asia/Jakarta]","0.0","0.31"
"As user, I want to manage Shop features","As user, I can delete cart data by ID","SUCCESS","2023-06-26T11:50:40.716986+07:00[Asia/Jakarta]","0.0","0.38"
"As user, I want to create, put, delete and get category and category by ID","As user I want to create new category","SUCCESS","2023-06-26T11:50:41.109478+07:00[Asia/Jakarta]","0.0","0.34"
"As user, I want to create, put, delete and get category and category by ID","As user I can get all category data","SUCCESS","2023-06-26T11:50:41.458435+07:00[Asia/Jakarta]","0.0","0.32"
"As user, I want to create, put, delete and get category and category by ID","As user I can edit category data by ID","SUCCESS","2023-06-26T11:50:41.785893+07:00[Asia/Jakarta]","0.0","0.34"
"As user, I want to create, put, delete and get category and category by ID","As user I can delete category data by ID","SUCCESS","2023-06-26T11:50:42.134867+07:00[Asia/Jakarta]","0.0","0.35"
"As user, I want to manage the event feature","As user, ensures that new event can be added correctly","SUCCESS","2023-06-26T11:50:42.497236+07:00[Asia/Jakarta]","0.0","0.4"
"As user, I want to manage the event feature","As user, I can get all event data","SUCCESS","2023-06-26T11:50:42.909456+07:00[Asia/Jakarta]","0.0","0.41"
"As user, I want to manage the event feature","As user, I can edit event data by ID","SUCCESS","2023-06-26T11:50:43.32432+07:00[Asia/Jakarta]","0.0","0.37"
"As user, I want to manage the event feature","As user, I can delete event data by ID","SUCCESS","2023-06-26T11:50:43.701931+07:00[Asia/Jakarta]","0.0","0.38"
"As a user, I logged in successfully","As user I want to input valid data to then i can see success login","SUCCESS","2023-06-26T11:50:44.094601+07:00[Asia/Jakarta]","0.0","0.12"
"As Admin, I want to manage the event feature","As admin, ensures that get user data","SUCCESS","2023-06-26T11:50:44.217675+07:00[Asia/Jakarta]","0.0","0.36"
"As User, I register in successfully","As user I want to input valid data to then i can see success register","SUCCESS","2023-06-26T11:50:45.183972+07:00[Asia/Jakarta]","0.0","0.1"
"As Admin, I want to manage promo features","As admin, I can get all account data","SUCCESS","2023-06-26T11:50:45.287881+07:00[Asia/Jakarta]","0.0","0.25"
"As admin, I want to create, put, delete and get artikel and artikel by ID","As admin I want to create new artikel","SUCCESS","2023-06-26T11:50:45.547143+07:00[Asia/Jakarta]","0.0","0.4"
"As admin, I want to create, put, delete and get artikel and artikel by ID","As admin I can get all artikel data","SUCCESS","2023-06-26T11:50:45.957508+07:00[Asia/Jakarta]","0.0","0.37"
"As admin, I want to create, put, delete and get artikel and artikel by ID","As admin I can edit artikel data by ID","SUCCESS","2023-06-26T11:50:46.337705+07:00[Asia/Jakarta]","0.0","0.42"
"As admin, I want to create, put, delete and get artikel and artikel by ID","As admin I can delete artikel data by ID","SUCCESS","2023-06-26T11:50:46.765024+07:00[Asia/Jakarta]","0.0","0.4"
"As Admin, I want to manage Shop features","As admin, I want to create new cart","SUCCESS","2023-06-26T11:50:47.176489+07:00[Asia/Jakarta]","0.0","0.36"
"As Admin, I want to manage Shop features","As admin, I can get all cart data","SUCCESS","2023-06-26T11:50:47.544776+07:00[Asia/Jakarta]","0.0","0.35"
"As Admin, I want to manage Shop features","As admin, I can edit cart data by ID","SUCCESS","2023-06-26T11:50:47.905347+07:00[Asia/Jakarta]","0.0","0.34"
"As Admin, I want to manage Shop features","As admin, I can delete cart data by ID","SUCCESS","2023-06-26T11:50:48.256085+07:00[Asia/Jakarta]","0.0","0.36"
"As admin, I want to create, put, delete and get category and category by ID","As admin, I want to create new category","SUCCESS","2023-06-26T11:50:48.626502+07:00[Asia/Jakarta]","0.0","0.31"
"As admin, I want to create, put, delete and get category and category by ID","As admin, I can get all category data","SUCCESS","2023-06-26T11:50:48.947529+07:00[Asia/Jakarta]","0.0","0.32"
"As admin, I want to create, put, delete and get category and category by ID","As admin, I can edit category data by ID","SUCCESS","2023-06-26T11:50:49.283506+07:00[Asia/Jakarta]","0.0","0.32"
"As admin, I want to create, put, delete and get category and category by ID","As admin, I can delete category data by ID","SUCCESS","2023-06-26T11:50:49.602789+07:00[Asia/Jakarta]","0.0","0.33"
"As Admin, I want to manage the event feature","As admin, I can get all event data","SUCCESS","2023-06-26T11:50:50.315585+07:00[Asia/Jakarta]","0.0","0.36"
"As Admin, I want to manage the event feature","As admin, I can edit event data by ID","SUCCESS","2023-06-26T11:50:50.686862+07:00[Asia/Jakarta]","0.0","0.21"
"As a admin, I logged in successfully","As Admin I want to input valid data to then i can see success login","SUCCESS","2023-06-26T11:50:51.140728+07:00[Asia/Jakarta]","0.0","0.11"
"As Admin, I want to manage Product features","As admin, I can get all Product data","SUCCESS","2023-06-26T11:50:51.2659+07:00[Asia/Jakarta]","0.0","0.22"
"As Admin, I want to manage Product features","As admin, I can get product data by ID","SUCCESS","2023-06-26T11:50:51.494031+07:00[Asia/Jakarta]","0.0","0.24"
"As Admin, I want to manage Product features","As admin, I can add new product data","SUCCESS","2023-06-26T11:50:51.744423+07:00[Asia/Jakarta]","0.0","0.43"
"As Admin, I want to manage Product features","As admin, I can update product data","SUCCESS","2023-06-26T11:50:52.182869+07:00[Asia/Jakarta]","0.0","0.23"
"As Admin, I want to manage Product features","As admin, I can delete product data","SUCCESS","2023-06-26T11:50:52.415987+07:00[Asia/Jakarta]","0.0","0.21"
"As Admin, I want to manage the event feature","As admin, ensures that get admin data","SUCCESS","2023-06-26T11:50:52.635248+07:00[Asia/Jakarta]","0.0","0.37"
"As Admin, I want to manage the event feature","As admin, ensures that new event can be added correctly","SUCCESS","2023-06-26T11:50:53.013263+07:00[Asia/Jakarta]","0.0","0.38"
"As Admin, I want to manage the event feature","As admin, ensures that new promo can be added correctly","SUCCESS","2023-06-26T11:50:53.404353+07:00[Asia/Jakarta]","0.0","0.37"
"As Admin, I want to manage the event feature","As admin, I can get all promo data","SUCCESS","2023-06-26T11:50:53.781781+07:00[Asia/Jakarta]","0.0","0.33"
"As Admin, I want to manage the event feature","As admin, I can edit promo data by ID","SUCCESS","2023-06-26T11:50:54.115732+07:00[Asia/Jakarta]","0.0","0.32"
"As Admin, I want to manage the event feature","As admin, I can delete event data by ID","SUCCESS","2023-06-26T11:50:54.447686+07:00[Asia/Jakarta]","0.0","0.32"
